"Title","Subtitle","Author","Author (Last","Publisher","Date Published","Year Published","Summary","Number of Pages","ISBN","EAN","書封","分類"
"I-孤注一擲","","葛拉夫頓","葛拉夫頓","小知堂文化","","2006","","316","9789574504794","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=xl8L886xpu%409789574504794-I_%E5%AD%A4%E6%B3%A8%E4%B8%80%E6%93%B2.jpg","字母天后"
"H-異色狙殺","","葛拉夫頓","葛拉夫頓","小知堂文化","","2006","","286","9789574504732","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=DcWvlFY85C%409789574504732-H_%E7%95%B0%E8%89%B2%E7%8B%99%E6%AE%BA.jpg","字母天后"
"G-魅影殺手","","葛拉夫頓","葛拉夫頓","小知堂文化","","2006","","313","9789574504664","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=d05i4Q51FG%409789574504664-G_%E9%AD%85%E5%BD%B1%E6%AE%BA%E6%89%8B.jpg","字母天后"
"F-亡命之徒","","葛拉夫頓","葛拉夫頓","小知堂文化","","2006","","280","9789574504558","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=Mw64Lg8s1f%409789574504558-F_%E4%BA%A1%E5%91%BD%E4%B9%8B%E5%BE%92.jpg","字母天后"
"E-鐵證如山","","葛拉夫頓","葛拉夫頓","小知堂文化","","2005","","251","9789574504381","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=CmkJU7G2IE%409789574504381-E_%E9%90%B5%E8%AD%89%E5%A6%82%E5%B1%B1.jpg","字母天后"
"D-兇手的意外","","葛拉夫頓","葛拉夫頓","小知堂文化","","2005","","275","9789574504213","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=sq1B7m5Tq2%409789574504213-D_%E5%85%87%E6%89%8B%E7%9A%84%E6%84%8F%E5%A4%96.jpg","字母天后"
"C-死亡陷阱","","葛拉夫頓","葛拉夫頓","小知堂文化","","2005","","284","9789574504206","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=6Gp305bkB3%409789574504206-C_%E6%AD%BB%E4%BA%A1%E9%99%B7%E9%98%B1.jpg","字母天后"
"B-瞞天過海","","葛拉夫頓","葛拉夫頓","小知堂文化","","2005","","270","9789574504190","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=30A7RVwgwz%409789574504190-B_%E7%9E%9E%E5%A4%A9%E9%81%8E%E6%B5%B7.jpg","字母天后"
"A-不在場證明","","葛拉夫頓","葛拉夫頓","小知堂文化","","2005","","286","9789574504183","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=1qthMkeIUP%409789574504183-A_%E4%B8%8D%E5%9C%A8%E5%A0%B4%E8%AD%89%E6%98%8E.jpg","字母天后"
"鐵針奇案","The Chinese nail murders","高羅佩","Gulik, Robert Hans van","臉譜出版","","2001","","268","9789574698165","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=9gMJ2632GN%409789574698165-%E9%90%B5%E9%87%9D%E5%A5%87%E6%A1%88.jpg",""
"斷指奇案","","高羅佩","Gulik, Robert Hans van","臉譜出版","","2002","","154","9789574698578","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=AlnL9N408f%409789574698578-%E6%96%B7%E6%8C%87%E5%A5%87%E6%A1%88.jpg",""
"柳園圖奇案","The willow pattern","高羅佩","Gulik, Robert Hans van","臉譜出版","","2002","","246","9789574698424","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=NZyi75K1Wy%409789574698424-%E6%9F%B3%E5%9C%92%E5%9C%96%E5%A5%87%E6%A1%88.jpg",""
"廣州奇案","","高羅佩","Gulik, Robert Hans van","臉譜出版","","2002","","305","9789574698431","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=2e5DMnqaX6%409789574698431-%E5%BB%A3%E5%B7%9E%E5%A5%87%E6%A1%88.jpg",""
"紫雲寺奇案","The phantom of the temple","高羅佩","Gulik, Robert Hans van","臉譜出版","","2002","","289","9789574698158","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=QR939GBdJh%409789574698158-%E7%B4%AB%E9%9B%B2%E5%AF%BA%E5%A5%87%E6%A1%88.jpg",""
"朝雲觀奇案","The haunted monastery","高羅佩","Gulik, Robert Hans van","臉譜出版","","2001","","278","9789574693306","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=9U00d75sFI%409789574693306-%E6%9C%9D%E9%9B%B2%E8%A7%80%E5%A5%87%E6%A1%88.jpg",""
"迷宮奇案","The Chinese maze murders","高羅佩","Gulik, Robert van","臉譜出版","","2002","","376","9789574695102","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=5bG2q1P4bw%409789574695102-%E8%BF%B7%E5%AE%AE%E5%A5%87%E6%A1%88.jpg",""
"太子棺奇案","","高羅佩","Gulik, Robert Hans van","臉譜出版","","2002","","287","9789574698585","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=P4A3H73OCe%409789574698585-%E5%A4%AA%E5%AD%90%E6%A3%BA%E5%A5%87%E6%A1%88.jpg",""
"黯夜女子","","漢密特,Dashiell Hammett","漢密特,Dashiell Hammett","臉譜出版","","1998","","121","9789577086679","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=7U0fnb17r1%409789577086679-%E9%BB%AF%E5%A4%9C%E5%A5%B3%E5%AD%90.jpg",""
"瘦子","","漢密特,Dashiell Hammett","Hammett, Dashiell","臉譜出版","","1999","","259","9789577087232","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=d9eK5uqWiY%409789577087232-%E7%98%A6%E5%AD%90.jpg",""
"玻璃鑰匙","","漢密特,Dashiell Hammett","漢密特","臉譜出版","","2000","","","9789574691357","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=j7IGtp0mkJ%409789574691357-%E7%8E%BB%E7%92%83%E9%91%B0%E5%8C%99.jpg",""
"紅色收穫","","漢密特,Dashiell Hammett","漢密特","臉譜出版","","1998","","251","9789577086303","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=C0WrgL71M7%409789577086303-%E7%B4%85%E8%89%B2%E6%94%B6%E7%A9%AB.jpg",""
"螺絲起子","","漢密特,Dashiell Hammett","漢密特,Dashiell Hammett","臉譜出版","","2000","","588","9789574692255","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=1IhKXc03CH%409789574692255-%E8%9E%BA%E7%B5%B2%E8%B5%B7%E5%AD%90.jpg",""
"丹恩咒詛","","漢密特,Dashiell Hammett","漢密特,Dashiell Hammett","臉譜出版","","1998","","266","9789577086495","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=0x6G220lby%409789577086495-%E4%B8%B9%E6%81%A9%E5%92%92%E8%A9%9B.jpg",""
"馬爾他之鷹","","漢密特,Dashiell Hammett","漢密特,Dashiell Hammett","臉譜出版","","1998","","264","9789577086228","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=92LP5GCih8%409789577086228-%E9%A6%AC%E7%88%BE%E4%BB%96%E4%B9%8B%E9%B7%B9.jpg",""
